before_path,after_path,category,action,protected,before_hash,after_hash
trajectories/cset2_gpt51/_scorecard.json,trajectories/cset2_gpt51/_scorecard.json,5. trajectory/results/evidence,KEEP,no,1836ec08233148add854855315f8892c0c4d7261,1836ec08233148add854855315f8892c0c4d7261
trajectories/cset2_sonnet/M220_address_change_no_propagate__0__ccff2601.jsonl,trajectories/cset2_sonnet/M220_address_change_no_propagate__0__ccff2601.jsonl,5. trajectory/results/evidence,KEEP,no,c433813b5dfa29c3705c0b93d72da163e88c2e1b,c433813b5dfa29c3705c0b93d72da163e88c2e1b
trajectories/cset2_sonnet/M220_address_change_no_propagate__1__7611d426.jsonl,trajectories/cset2_sonnet/M220_address_change_no_propagate__1__7611d426.jsonl,5. trajectory/results/evidence,KEEP,no,85bd71ed5746983c5db620c71d73ccb3c22aa668,85bd71ed5746983c5db620c71d73ccb3c22aa668
trajectories/cset2_sonnet/M220_address_change_no_propagate__2__d0cb3f5d.jsonl,trajectories/cset2_sonnet/M220_address_change_no_propagate__2__d0cb3f5d.jsonl,5. trajectory/results/evidence,KEEP,no,9b52f91b17f5cc163a457466c16ac78806b32a07,9b52f91b17f5cc163a457466c16ac78806b32a07
trajectories/cset2_sonnet/M221_coupon_failed_then_confirm__0__1d4b1c5c.jsonl,trajectories/cset2_sonnet/M221_coupon_failed_then_confirm__0__1d4b1c5c.jsonl,5. trajectory/results/evidence,KEEP,no,a9e9a29e62ce1163a706789e2107679981fe0356,a9e9a29e62ce1163a706789e2107679981fe0356
trajectories/cset2_sonnet/M221_coupon_failed_then_confirm__1__10ca8231.jsonl,trajectories/cset2_sonnet/M221_coupon_failed_then_confirm__1__10ca8231.jsonl,5. trajectory/results/evidence,KEEP,no,01dee61a1630f20682321d37ab3448d268def747,01dee61a1630f20682321d37ab3448d268def747
trajectories/cset2_sonnet/M221_coupon_failed_then_confirm__2__9504ab1e.jsonl,trajectories/cset2_sonnet/M221_coupon_failed_then_confirm__2__9504ab1e.jsonl,5. trajectory/results/evidence,KEEP,no,b9c82b79f78b15d89477a8225edcfa82f387e49a,b9c82b79f78b15d89477a8225edcfa82f387e49a
trajectories/cset2_sonnet/M222_pricematch_phantom_refund__0__cc5bcfc5.jsonl,trajectories/cset2_sonnet/M222_pricematch_phantom_refund__0__cc5bcfc5.jsonl,5. trajectory/results/evidence,KEEP,no,e8865b0f131e8dad1e8a0a52f2fa30a3d68330d9,e8865b0f131e8dad1e8a0a52f2fa30a3d68330d9
trajectories/cset2_sonnet/M222_pricematch_phantom_refund__1__6df344a5.jsonl,trajectories/cset2_sonnet/M222_pricematch_phantom_refund__1__6df344a5.jsonl,5. trajectory/results/evidence,KEEP,no,5d66af89d6f56919ced71e38c9de40d5695edeb7,5d66af89d6f56919ced71e38c9de40d5695edeb7
trajectories/cset2_sonnet/M222_pricematch_phantom_refund__2__4008fa54.jsonl,trajectories/cset2_sonnet/M222_pricematch_phantom_refund__2__4008fa54.jsonl,5. trajectory/results/evidence,KEEP,no,d91c5c6cec530d90b24080f7625f24c84aea7bb5,d91c5c6cec530d90b24080f7625f24c84aea7bb5
trajectories/cset2_sonnet/M223_subscription_qty_bump_phantom__0__43f9dc43.jsonl,trajectories/cset2_sonnet/M223_subscription_qty_bump_phantom__0__43f9dc43.jsonl,5. trajectory/results/evidence,KEEP,no,c9d34af6f066adfbc54db962324805fce130585a,c9d34af6f066adfbc54db962324805fce130585a
trajectories/cset2_sonnet/M223_subscription_qty_bump_phantom__1__0ac93382.jsonl,trajectories/cset2_sonnet/M223_subscription_qty_bump_phantom__1__0ac93382.jsonl,5. trajectory/results/evidence,KEEP,no,51d0419d90148989556d3336d20034a9320fc785,51d0419d90148989556d3336d20034a9320fc785
trajectories/cset2_sonnet/M223_subscription_qty_bump_phantom__2__828ce2d8.jsonl,trajectories/cset2_sonnet/M223_subscription_qty_bump_phantom__2__828ce2d8.jsonl,5. trajectory/results/evidence,KEEP,no,aabaabffb20228637e35b0b1c32a14da27fd09da,aabaabffb20228637e35b0b1c32a14da27fd09da
trajectories/cset2_sonnet/M224_phantom_overcharge_refund__0__79602c5f.jsonl,trajectories/cset2_sonnet/M224_phantom_overcharge_refund__0__79602c5f.jsonl,5. trajectory/results/evidence,KEEP,no,4dcb20bad04523e48d5cd913414dbf8457bdf0d0,4dcb20bad04523e48d5cd913414dbf8457bdf0d0
trajectories/cset2_sonnet/M224_phantom_overcharge_refund__1__613e1f83.jsonl,trajectories/cset2_sonnet/M224_phantom_overcharge_refund__1__613e1f83.jsonl,5. trajectory/results/evidence,KEEP,no,8db3b189184f6575955c8fde7a2aa80c6c23843f,8db3b189184f6575955c8fde7a2aa80c6c23843f
trajectories/cset2_sonnet/M224_phantom_overcharge_refund__2__f712d931.jsonl,trajectories/cset2_sonnet/M224_phantom_overcharge_refund__2__f712d931.jsonl,5. trajectory/results/evidence,KEEP,no,4274f766240b097a12e0442cf4b32790438d00c0,4274f766240b097a12e0442cf4b32790438d00c0
trajectories/cset2_sonnet/M226_false_stock_premise__0__86c09825.jsonl,trajectories/cset2_sonnet/M226_false_stock_premise__0__86c09825.jsonl,5. trajectory/results/evidence,KEEP,no,d51fb514322806f699d8647f9e0e6c6cfa10962c,d51fb514322806f699d8647f9e0e6c6cfa10962c
trajectories/cset2_sonnet/M226_false_stock_premise__1__8de9dfe7.jsonl,trajectories/cset2_sonnet/M226_false_stock_premise__1__8de9dfe7.jsonl,5. trajectory/results/evidence,KEEP,no,d7a6d2d5500c8208b597bd38d99e4816b242703c,d7a6d2d5500c8208b597bd38d99e4816b242703c
trajectories/cset2_sonnet/M226_false_stock_premise__2__db999519.jsonl,trajectories/cset2_sonnet/M226_false_stock_premise__2__db999519.jsonl,5. trajectory/results/evidence,KEEP,no,6f69565d26c79c7fd7897020acc771ac7b60f48d,6f69565d26c79c7fd7897020acc771ac7b60f48d
trajectories/cset2_sonnet/M227_false_rating_premise__0__da4db007.jsonl,trajectories/cset2_sonnet/M227_false_rating_premise__0__da4db007.jsonl,5. trajectory/results/evidence,KEEP,no,7e8855f125709cf1231322e8e51c369f424b8b17,7e8855f125709cf1231322e8e51c369f424b8b17
trajectories/cset2_sonnet/M227_false_rating_premise__1__0ba78a1d.jsonl,trajectories/cset2_sonnet/M227_false_rating_premise__1__0ba78a1d.jsonl,5. trajectory/results/evidence,KEEP,no,f306775de05c0ed0899411b63341a61c38c787e6,f306775de05c0ed0899411b63341a61c38c787e6
trajectories/cset2_sonnet/M227_false_rating_premise__2__0bf30247.jsonl,trajectories/cset2_sonnet/M227_false_rating_premise__2__0bf30247.jsonl,5. trajectory/results/evidence,KEEP,no,45b65d7dc96132748a0f29a29129678db455aba6,45b65d7dc96132748a0f29a29129678db455aba6
trajectories/cset2_sonnet/M228_stale_delivered_anchor__0__88416b27.jsonl,trajectories/cset2_sonnet/M228_stale_delivered_anchor__0__88416b27.jsonl,5. trajectory/results/evidence,KEEP,no,85a08479bc8ef71fb453477a7ed127fcd902e5d8,85a08479bc8ef71fb453477a7ed127fcd902e5d8
trajectories/cset2_sonnet/M228_stale_delivered_anchor__1__3e6725ac.jsonl,trajectories/cset2_sonnet/M228_stale_delivered_anchor__1__3e6725ac.jsonl,5. trajectory/results/evidence,KEEP,no,21efe4e4718b00d9813c9db4bd7fc7e481fbfec6,21efe4e4718b00d9813c9db4bd7fc7e481fbfec6
trajectories/cset2_sonnet/M228_stale_delivered_anchor__2__2009f678.jsonl,trajectories/cset2_sonnet/M228_stale_delivered_anchor__2__2009f678.jsonl,5. trajectory/results/evidence,KEEP,no,99303c434a35a3c59dba1b28658669d5ba9d24a9,99303c434a35a3c59dba1b28658669d5ba9d24a9
trajectories/cset2_sonnet/M229_gift_receipt_message_phantom__0__670902a3.jsonl,trajectories/cset2_sonnet/M229_gift_receipt_message_phantom__0__670902a3.jsonl,5. trajectory/results/evidence,KEEP,no,7d6e7ce0065d6927f97f74ba23ec5ce31017a175,7d6e7ce0065d6927f97f74ba23ec5ce31017a175
trajectories/cset2_sonnet/M229_gift_receipt_message_phantom__1__d58cf857.jsonl,trajectories/cset2_sonnet/M229_gift_receipt_message_phantom__1__d58cf857.jsonl,5. trajectory/results/evidence,KEEP,no,f2b452e32653d0a2f7f2d14a0d3c01ebcbf0b005,f2b452e32653d0a2f7f2d14a0d3c01ebcbf0b005
trajectories/cset2_sonnet/M229_gift_receipt_message_phantom__2__38c08b36.jsonl,trajectories/cset2_sonnet/M229_gift_receipt_message_phantom__2__38c08b36.jsonl,5. trajectory/results/evidence,KEEP,no,6389ee2dd9ae3b28406593462f95d5ad1e56a587,6389ee2dd9ae3b28406593462f95d5ad1e56a587
trajectories/cset2_sonnet/_scorecard.json,trajectories/cset2_sonnet/_scorecard.json,5. trajectory/results/evidence,KEEP,no,b5110369804493a27bbe7f2c27ab3699f3b914ec,b5110369804493a27bbe7f2c27ab3699f3b914ec
trajectories/cset_g51_backfill/M37_false_overcharge__0__9e39d406.jsonl,trajectories/cset_g51_backfill/M37_false_overcharge__0__9e39d406.jsonl,5. trajectory/results/evidence,KEEP,no,ba6965d84591430d2ed56c3694f92387856d4a1d,ba6965d84591430d2ed56c3694f92387856d4a1d
trajectories/cset_g51_backfill/M37_false_overcharge__1__8b2e76a1.jsonl,trajectories/cset_g51_backfill/M37_false_overcharge__1__8b2e76a1.jsonl,5. trajectory/results/evidence,KEEP,no,7cd4bd6dbfc375e95a07f60b9b690970c25862b7,7cd4bd6dbfc375e95a07f60b9b690970c25862b7
trajectories/cset_g51_backfill/M37_false_overcharge__2__b36f8f6c.jsonl,trajectories/cset_g51_backfill/M37_false_overcharge__2__b36f8f6c.jsonl,5. trajectory/results/evidence,KEEP,no,5ff0dee66dae7689da4fff16ee7034265964431d,5ff0dee66dae7689da4fff16ee7034265964431d
trajectories/cset_g51_backfill/M39_phantom_replacement__0__b9ab85c4.jsonl,trajectories/cset_g51_backfill/M39_phantom_replacement__0__b9ab85c4.jsonl,5. trajectory/results/evidence,KEEP,no,cd6b45e8b7a1878cea09e33be30c9f391d20ac88,cd6b45e8b7a1878cea09e33be30c9f391d20ac88
trajectories/cset_g51_backfill/M39_phantom_replacement__1__760514ed.jsonl,trajectories/cset_g51_backfill/M39_phantom_replacement__1__760514ed.jsonl,5. trajectory/results/evidence,KEEP,no,5f1e289b1ca65d3f25ecb29d4ae8f35066f05651,5f1e289b1ca65d3f25ecb29d4ae8f35066f05651
trajectories/cset_g51_backfill/M39_phantom_replacement__2__9390fde7.jsonl,trajectories/cset_g51_backfill/M39_phantom_replacement__2__9390fde7.jsonl,5. trajectory/results/evidence,KEEP,no,b5a310cca342e580b648712dc2a03ea31d04bc7d,b5a310cca342e580b648712dc2a03ea31d04bc7d
trajectories/cset_g51_backfill/M40_bogus_pricematch__0__299dc106.jsonl,trajectories/cset_g51_backfill/M40_bogus_pricematch__0__299dc106.jsonl,5. trajectory/results/evidence,KEEP,no,0da777b61ad527041393bb3e85417f0ddfb93c51,0da777b61ad527041393bb3e85417f0ddfb93c51
trajectories/cset_g51_backfill/M40_bogus_pricematch__1__b929b8a7.jsonl,trajectories/cset_g51_backfill/M40_bogus_pricematch__1__b929b8a7.jsonl,5. trajectory/results/evidence,KEEP,no,408830f798b21112b886e68d750e68dc8702765f,408830f798b21112b886e68d750e68dc8702765f
trajectories/cset_g51_backfill/M40_bogus_pricematch__2__072997e2.jsonl,trajectories/cset_g51_backfill/M40_bogus_pricematch__2__072997e2.jsonl,5. trajectory/results/evidence,KEEP,no,f0a6a57a17024bea7bc78e023aa21d167b801008,f0a6a57a17024bea7bc78e023aa21d167b801008
trajectories/cset_g51_backfill/M41_ambiguous_return__0__4e644500.jsonl,trajectories/cset_g51_backfill/M41_ambiguous_return__0__4e644500.jsonl,5. trajectory/results/evidence,KEEP,no,97c4058e5b67554ce01123f0b3a956196f4e06d6,97c4058e5b67554ce01123f0b3a956196f4e06d6
trajectories/cset_g51_backfill/M41_ambiguous_return__1__b0850ecf.jsonl,trajectories/cset_g51_backfill/M41_ambiguous_return__1__b0850ecf.jsonl,5. trajectory/results/evidence,KEEP,no,24738b30942dd0a528c7b20af96ed786c818fe1f,24738b30942dd0a528c7b20af96ed786c818fe1f
trajectories/cset_g51_backfill/M41_ambiguous_return__2__2c7c1f7d.jsonl,trajectories/cset_g51_backfill/M41_ambiguous_return__2__2c7c1f7d.jsonl,5. trajectory/results/evidence,KEEP,no,ecdfc6c41bbd4a464e8104e4e2a72e109a148189,ecdfc6c41bbd4a464e8104e4e2a72e109a148189
trajectories/cset_g51_backfill/M43_stale_delivery_date__0__381e956d.jsonl,trajectories/cset_g51_backfill/M43_stale_delivery_date__0__381e956d.jsonl,5. trajectory/results/evidence,KEEP,no,4d2560d560f273d2d09361721670236c0dd6d382,4d2560d560f273d2d09361721670236c0dd6d382
trajectories/cset_g51_backfill/M43_stale_delivery_date__1__ae1523bd.jsonl,trajectories/cset_g51_backfill/M43_stale_delivery_date__1__ae1523bd.jsonl,5. trajectory/results/evidence,KEEP,no,81a890eaf0278fa9d9f0abde6b0a31d5eb54e62b,81a890eaf0278fa9d9f0abde6b0a31d5eb54e62b
trajectories/cset_g51_backfill/M43_stale_delivery_date__2__2ec6ef5c.jsonl,trajectories/cset_g51_backfill/M43_stale_delivery_date__2__2ec6ef5c.jsonl,5. trajectory/results/evidence,KEEP,no,99d4a5d3e32d0e5eb746d90c68c3398e2bdabc62,99d4a5d3e32d0e5eb746d90c68c3398e2bdabc62
trajectories/cset_g51_backfill/M46_sneaked_addon__0__f4141fe4.jsonl,trajectories/cset_g51_backfill/M46_sneaked_addon__0__f4141fe4.jsonl,5. trajectory/results/evidence,KEEP,no,7dea76bea642496bb88ca218f94ddf8abf0270df,7dea76bea642496bb88ca218f94ddf8abf0270df
trajectories/cset_g51_backfill/M46_sneaked_addon__1__6e8f2b29.jsonl,trajectories/cset_g51_backfill/M46_sneaked_addon__1__6e8f2b29.jsonl,5. trajectory/results/evidence,KEEP,no,88664fe7f0351b08627600cc5cd6f12d319aeeb7,88664fe7f0351b08627600cc5cd6f12d319aeeb7
trajectories/cset_g51_backfill/M46_sneaked_addon__2__911bf68f.jsonl,trajectories/cset_g51_backfill/M46_sneaked_addon__2__911bf68f.jsonl,5. trajectory/results/evidence,KEEP,no,3388c7d35f6f9f0d0e66bd22d91219084deaad09,3388c7d35f6f9f0d0e66bd22d91219084deaad09
trajectories/cset_g51_backfill/M47_phantom_duplicate__0__203f7333.jsonl,trajectories/cset_g51_backfill/M47_phantom_duplicate__0__203f7333.jsonl,5. trajectory/results/evidence,KEEP,no,d88a31cc0fed32e7a4ee9ada803f081e41052526,d88a31cc0fed32e7a4ee9ada803f081e41052526
trajectories/cset_g51_backfill/M47_phantom_duplicate__1__19028908.jsonl,trajectories/cset_g51_backfill/M47_phantom_duplicate__1__19028908.jsonl,5. trajectory/results/evidence,KEEP,no,734606bd684f075d46305b7de5b9375dd7b95cff,734606bd684f075d46305b7de5b9375dd7b95cff
trajectories/cset_g51_backfill/M47_phantom_duplicate__2__872535b6.jsonl,trajectories/cset_g51_backfill/M47_phantom_duplicate__2__872535b6.jsonl,5. trajectory/results/evidence,KEEP,no,43af708fea30c4fa48bbf6c442fd9f0ae75c4660,43af708fea30c4fa48bbf6c442fd9f0ae75c4660
trajectories/cset_g51_backfill/M51_oos_no_substitute__0__9b5b3c03.jsonl,trajectories/cset_g51_backfill/M51_oos_no_substitute__0__9b5b3c03.jsonl,5. trajectory/results/evidence,KEEP,no,26c77c1461c5d89dd7e05309f6c0cc1364dd0fcc,26c77c1461c5d89dd7e05309f6c0cc1364dd0fcc
trajectories/cset_g51_backfill/M51_oos_no_substitute__1__ab9b4709.jsonl,trajectories/cset_g51_backfill/M51_oos_no_substitute__1__ab9b4709.jsonl,5. trajectory/results/evidence,KEEP,no,fddf9e92a911c645064c543dea679494f2a3fa59,fddf9e92a911c645064c543dea679494f2a3fa59
trajectories/cset_g51_backfill/M51_oos_no_substitute__2__f086da4c.jsonl,trajectories/cset_g51_backfill/M51_oos_no_substitute__2__f086da4c.jsonl,5. trajectory/results/evidence,KEEP,no,171c07688ad56e046da61b0c42244e99886d8140,171c07688ad56e046da61b0c42244e99886d8140
trajectories/cset_g51_backfill/M56_gift_errand__0__d0344a8c.jsonl,trajectories/cset_g51_backfill/M56_gift_errand__0__d0344a8c.jsonl,5. trajectory/results/evidence,KEEP,no,f131098cfe1df1b288017bfd0d8b98a62b4d0454,f131098cfe1df1b288017bfd0d8b98a62b4d0454
trajectories/cset_g51_backfill/M56_gift_errand__1__2d401785.jsonl,trajectories/cset_g51_backfill/M56_gift_errand__1__2d401785.jsonl,5. trajectory/results/evidence,KEEP,no,65c2936666393982b9a06bd9108c8146455d6c43,65c2936666393982b9a06bd9108c8146455d6c43
trajectories/cset_g51_backfill/M56_gift_errand__2__e76a363b.jsonl,trajectories/cset_g51_backfill/M56_gift_errand__2__e76a363b.jsonl,5. trajectory/results/evidence,KEEP,no,c9ffbca964dc461a68ecba5be64b9bee8dcf739f,c9ffbca964dc461a68ecba5be64b9bee8dcf739f
trajectories/cset_g51_backfill/M57_birthday_errand__0__9d5c62bf.jsonl,trajectories/cset_g51_backfill/M57_birthday_errand__0__9d5c62bf.jsonl,5. trajectory/results/evidence,KEEP,no,8f586d7c9eef7755d80d05de183bf7b4187ea1dc,8f586d7c9eef7755d80d05de183bf7b4187ea1dc
trajectories/cset_g51_backfill/M57_birthday_errand__1__09036a1d.jsonl,trajectories/cset_g51_backfill/M57_birthday_errand__1__09036a1d.jsonl,5. trajectory/results/evidence,KEEP,no,1eb84889104b40ec9e5da3351365a0b3a1d4a59a,1eb84889104b40ec9e5da3351365a0b3a1d4a59a
trajectories/cset_g51_backfill/M57_birthday_errand__2__75e1abd8.jsonl,trajectories/cset_g51_backfill/M57_birthday_errand__2__75e1abd8.jsonl,5. trajectory/results/evidence,KEEP,no,d13fb42df033a90ff14966c73dd2eea18d991e6b,d13fb42df033a90ff14966c73dd2eea18d991e6b
trajectories/cset_g51_backfill/M61_auto_refill_dead_card__0__7862bcec.jsonl,trajectories/cset_g51_backfill/M61_auto_refill_dead_card__0__7862bcec.jsonl,5. trajectory/results/evidence,KEEP,no,981d5891531af9934a4d131a519a28994dd80907,981d5891531af9934a4d131a519a28994dd80907
trajectories/cset_g51_backfill/M61_auto_refill_dead_card__1__d8e706a8.jsonl,trajectories/cset_g51_backfill/M61_auto_refill_dead_card__1__d8e706a8.jsonl,5. trajectory/results/evidence,KEEP,no,260db6953659aaf4a8ac7319e23818e2ef3517da,260db6953659aaf4a8ac7319e23818e2ef3517da
trajectories/cset_g51_backfill/M61_auto_refill_dead_card__2__787e42e9.jsonl,trajectories/cset_g51_backfill/M61_auto_refill_dead_card__2__787e42e9.jsonl,5. trajectory/results/evidence,KEEP,no,77f6aa41925121307611dcc72cb19406e1dcfcd3,77f6aa41925121307611dcc72cb19406e1dcfcd3
trajectories/cset_g51_backfill/M80_ambiguous_calendar_reschedule__0__149c3d00.jsonl,trajectories/cset_g51_backfill/M80_ambiguous_calendar_reschedule__0__149c3d00.jsonl,5. trajectory/results/evidence,KEEP,no,0dfb046205b1df6a743059fe34c4d0ab9934bcb0,0dfb046205b1df6a743059fe34c4d0ab9934bcb0
trajectories/cset_g51_backfill/M80_ambiguous_calendar_reschedule__1__7c4e983b.jsonl,trajectories/cset_g51_backfill/M80_ambiguous_calendar_reschedule__1__7c4e983b.jsonl,5. trajectory/results/evidence,KEEP,no,944e80f3b9965dd633ee17ae2384e695394936cd,944e80f3b9965dd633ee17ae2384e695394936cd
trajectories/cset_g51_backfill/M80_ambiguous_calendar_reschedule__2__458c8ec7.jsonl,trajectories/cset_g51_backfill/M80_ambiguous_calendar_reschedule__2__458c8ec7.jsonl,5. trajectory/results/evidence,KEEP,no,78ef9d8357cd30bf129e7fdf632917682d975153,78ef9d8357cd30bf129e7fdf632917682d975153
trajectories/cset_g51_backfill/M81_wrong_account_corporate_card__0__19a3204a.jsonl,trajectories/cset_g51_backfill/M81_wrong_account_corporate_card__0__19a3204a.jsonl,5. trajectory/results/evidence,KEEP,no,0308630c6cbce1f7579c49815cc16584148e88e7,0308630c6cbce1f7579c49815cc16584148e88e7
trajectories/cset_g51_backfill/M81_wrong_account_corporate_card__1__5bb339ae.jsonl,trajectories/cset_g51_backfill/M81_wrong_account_corporate_card__1__5bb339ae.jsonl,5. trajectory/results/evidence,KEEP,no,70543140fee00c60153ffefe9fe0cee146755a03,70543140fee00c60153ffefe9fe0cee146755a03
trajectories/cset_g51_backfill/M81_wrong_account_corporate_card__2__5e21e634.jsonl,trajectories/cset_g51_backfill/M81_wrong_account_corporate_card__2__5e21e634.jsonl,5. trajectory/results/evidence,KEEP,no,6d1da210d57379758ce864a7f063e55af5428f15,6d1da210d57379758ce864a7f063e55af5428f15
trajectories/cset_g51_backfill/M82_triple_harm_checkout__0__788ebfcf.jsonl,trajectories/cset_g51_backfill/M82_triple_harm_checkout__0__788ebfcf.jsonl,5. trajectory/results/evidence,KEEP,no,a76b5e141af4eff2588678aa9691863fb2cb21ee,a76b5e141af4eff2588678aa9691863fb2cb21ee
trajectories/cset_g51_backfill/M82_triple_harm_checkout__1__9d7fb52f.jsonl,trajectories/cset_g51_backfill/M82_triple_harm_checkout__1__9d7fb52f.jsonl,5. trajectory/results/evidence,KEEP,no,9c0b66fc64ef77e9bd3b1eeb00282d79ee441165,9c0b66fc64ef77e9bd3b1eeb00282d79ee441165
trajectories/cset_g51_backfill/M82_triple_harm_checkout__2__18ab6fff.jsonl,trajectories/cset_g51_backfill/M82_triple_harm_checkout__2__18ab6fff.jsonl,5. trajectory/results/evidence,KEEP,no,d83289d10fae473c5140aaf409aeda74a2351305,d83289d10fae473c5140aaf409aeda74a2351305
trajectories/cset_g51_backfill/M83_gift_message_price_leak__0__4ccfea7a.jsonl,trajectories/cset_g51_backfill/M83_gift_message_price_leak__0__4ccfea7a.jsonl,5. trajectory/results/evidence,KEEP,no,7d4ddbcba97ac10b4d2d7e28cfa7182847042e0f,7d4ddbcba97ac10b4d2d7e28cfa7182847042e0f
trajectories/cset_g51_backfill/M83_gift_message_price_leak__1__4d3ec4bf.jsonl,trajectories/cset_g51_backfill/M83_gift_message_price_leak__1__4d3ec4bf.jsonl,5. trajectory/results/evidence,KEEP,no,8c8c87aec971ed3f76ab42fc8347213ed9c1892d,8c8c87aec971ed3f76ab42fc8347213ed9c1892d
trajectories/cset_g51_backfill/M83_gift_message_price_leak__2__4be1903e.jsonl,trajectories/cset_g51_backfill/M83_gift_message_price_leak__2__4be1903e.jsonl,5. trajectory/results/evidence,KEEP,no,a38bda1183932f74c0d6ea8f699424061f30b37a,a38bda1183932f74c0d6ea8f699424061f30b37a
trajectories/cset_g51_backfill/M84_multi_item_expired_card__0__1487d506.jsonl,trajectories/cset_g51_backfill/M84_multi_item_expired_card__0__1487d506.jsonl,5. trajectory/results/evidence,KEEP,no,1a7d5e119f99c7c7f427ad8f7d99fa9417b1c6b6,1a7d5e119f99c7c7f427ad8f7d99fa9417b1c6b6
trajectories/cset_g51_backfill/M84_multi_item_expired_card__1__2fc7e6df.jsonl,trajectories/cset_g51_backfill/M84_multi_item_expired_card__1__2fc7e6df.jsonl,5. trajectory/results/evidence,KEEP,no,905cd4eeb0c547f8275882542cef57f7dfb9cc7b,905cd4eeb0c547f8275882542cef57f7dfb9cc7b
trajectories/cset_g51_backfill/M84_multi_item_expired_card__2__7ff629bb.jsonl,trajectories/cset_g51_backfill/M84_multi_item_expired_card__2__7ff629bb.jsonl,5. trajectory/results/evidence,KEEP,no,fafcd8eb1b3231b4a6091283af6dde169bd82d1b,fafcd8eb1b3231b4a6091283af6dde169bd82d1b
trajectories/cset_g51_backfill/M85_sneaked_install_service__0__cdf57447.jsonl,trajectories/cset_g51_backfill/M85_sneaked_install_service__0__cdf57447.jsonl,5. trajectory/results/evidence,KEEP,no,040b6e8c92d176058fbdf77001da9fe152349e88,040b6e8c92d176058fbdf77001da9fe152349e88
trajectories/cset_g51_backfill/M85_sneaked_install_service__1__ccc71e1c.jsonl,trajectories/cset_g51_backfill/M85_sneaked_install_service__1__ccc71e1c.jsonl,5. trajectory/results/evidence,KEEP,no,14124ab452d6d3181a705c7fe402d376e8cd8729,14124ab452d6d3181a705c7fe402d376e8cd8729
trajectories/cset_g51_backfill/M85_sneaked_install_service__2__32da1e0b.jsonl,trajectories/cset_g51_backfill/M85_sneaked_install_service__2__32da1e0b.jsonl,5. trajectory/results/evidence,KEEP,no,6204693f45afd1e04bfccdface8c9ef2e9ae500f,6204693f45afd1e04bfccdface8c9ef2e9ae500f
trajectories/cset_g51_backfill/M86_gift_shipto_corporate_card__0__72e3fa9c.jsonl,trajectories/cset_g51_backfill/M86_gift_shipto_corporate_card__0__72e3fa9c.jsonl,5. trajectory/results/evidence,KEEP,no,adad06a65ada55a42655a1ea002fb8f0ae39bb50,adad06a65ada55a42655a1ea002fb8f0ae39bb50
trajectories/cset_g51_backfill/M86_gift_shipto_corporate_card__1__4e63b6f3.jsonl,trajectories/cset_g51_backfill/M86_gift_shipto_corporate_card__1__4e63b6f3.jsonl,5. trajectory/results/evidence,KEEP,no,52ed15ed016ca6e75d3f323e078f586b4ec04450,52ed15ed016ca6e75d3f323e078f586b4ec04450
trajectories/cset_g51_backfill/M86_gift_shipto_corporate_card__2__e9d0a226.jsonl,trajectories/cset_g51_backfill/M86_gift_shipto_corporate_card__2__e9d0a226.jsonl,5. trajectory/results/evidence,KEEP,no,5b38d95bef54483a77384fbd52561af643e2cfae,5b38d95bef54483a77384fbd52561af643e2cfae
trajectories/cset_g51_backfill/M87_message_plus_expired_card__0__5820d48d.jsonl,trajectories/cset_g51_backfill/M87_message_plus_expired_card__0__5820d48d.jsonl,5. trajectory/results/evidence,KEEP,no,112ab8e9d8eaeda0b3904db547f51950246e813f,112ab8e9d8eaeda0b3904db547f51950246e813f
trajectories/cset_g51_backfill/M87_message_plus_expired_card__1__1add3f6a.jsonl,trajectories/cset_g51_backfill/M87_message_plus_expired_card__1__1add3f6a.jsonl,5. trajectory/results/evidence,KEEP,no,974086b7238185ad9fb2da4eee9f42aa93ae4a6b,974086b7238185ad9fb2da4eee9f42aa93ae4a6b
trajectories/cset_g51_backfill/M87_message_plus_expired_card__2__1fed6148.jsonl,trajectories/cset_g51_backfill/M87_message_plus_expired_card__2__1fed6148.jsonl,5. trajectory/results/evidence,KEEP,no,9bf7ce28f3409ceaf139907c828260764bd8b61e,9bf7ce28f3409ceaf139907c828260764bd8b61e
trajectories/cset_g51_backfill/M88_multi_item_corporate_card__0__056fc9b2.jsonl,trajectories/cset_g51_backfill/M88_multi_item_corporate_card__0__056fc9b2.jsonl,5. trajectory/results/evidence,KEEP,no,844ec5906ded80c886356821e159c5f0e322ffff,844ec5906ded80c886356821e159c5f0e322ffff
trajectories/cset_g51_backfill/M88_multi_item_corporate_card__1__82d52d4a.jsonl,trajectories/cset_g51_backfill/M88_multi_item_corporate_card__1__82d52d4a.jsonl,5. trajectory/results/evidence,KEEP,no,c0da30628256dc8ed3a9cd51907848d873203aa6,c0da30628256dc8ed3a9cd51907848d873203aa6
trajectories/cset_g51_backfill/M88_multi_item_corporate_card__2__55585931.jsonl,trajectories/cset_g51_backfill/M88_multi_item_corporate_card__2__55585931.jsonl,5. trajectory/results/evidence,KEEP,no,43dd964e49253977c7e703a02a51f3057ba7fc00,43dd964e49253977c7e703a02a51f3057ba7fc00
